product_title_ksa,product_title_us,price_ksa_sar,price_us_usd,price_us_in_sar,price_diff_sar,price_diff_percent,match_score
حافظة كيبورد برو ايباد مع حامل مغناطيسي، كيبورد بإضاءة خلفية عربية/انجليزية، أزرار تحكم متعددة الإيماءات، تخزين مغناطيسي لقلم ابل، مفاتيح وسائط متعددة لجهاز ايباد M4 برو 11 بوصة من بلكن,"Apple iPad Pro 2024 (11-inch, Wi-Fi, 256GB) - Space Black (Renewed)",599.0,849.0,3183.75,-2584.75,-81.19,0.38
حافظة سمارت بنمط ملف لجهاز ايباد برو 13 بوصة (M4) من ابل - لون أسود​​​​​​,"Apple iPad Pro 2024 (13-inch, Wi-Fi, 256GB) - Space Black (Renewed)",399.0,989.01,3708.79,-3309.79,-89.24,0.38
ابل كيبورد ماجيك لجهاز ايباد برو 13 بوصة (M4) - انجليزي عالمي - اسود (مجدد),"Apple iPad Pro 2024 (13-inch, Wi-Fi, 256GB) - Space Black (Renewed)",899.0,989.01,3708.79,-2809.79,-75.76,0.38
جيتك شاشة حماية لجهاز ايباد برو 10.5 انش، ايباد اير الجيل الثالث 2019، عبوة | لجهاز ايباد برو 10.5 انش 2017، ايباد اير موديل 2019، HD شفاف، زجاج مقوى مضاد للخدش,"2019 Apple iPad Air (10.5-inch, WiFi, 256GB) - Gold (Renewed)",45.99,249.0,933.75,-887.76,-95.07,0.38
تابلت 2 في 1 من نوفوجوي 10 انش بنظام اندرويد 15 مع كيبورد وماوس وحافظة وقلم ستايلس وذاكرة روم 32GB وذاكرة RAM 8GB وكاميرا مزدوجة 2MP+8MP ومعالج رباعي النواة وبطارية 6000mAh وشاشة FHD مقاس 10.1 انش بلون زهري,"2 in 1 Tablet 10 Inch Android 15 Tableta, Tablets with Keyboard Mouse Case Stylus, 8GB RAM 32GB ROM Supports 1TB Expansion, 2MP+8MP Dual Camera Quad Core Processor 6000mAh Battery 10.1 IN FHD Tab Pink",401.18,64.99,243.71,157.47,64.61,0.37
"هارفوبو حافظة متوافقة مع ايباد اير 11 انش/ 10.9 انش اير الجيل الخامس الرابع مع كيبورد - اضاءة خلفية قابلة للفصل، غطاء كيبورد قابل للطي مع حامل قلم لجهاز ايباد اير 11 انش M4/M3/M2 واير 5/ اير 4 (اخضر) | 7 Colors Backlit, Detachable Keyboard Folio Cover for iPad Air 11-inch M4/M3/M2, Air 5/Air 4 10.9&quot; with Pencil Holder, Green","Harvopu for iPad A16 11th/10th Generation Case with Keyboard, Folio Cover | Multi-Touch Trackpad, 7 Colors Backlit, Detachable Keyboard for iPad A16 11 inch/10th Gen with Pencil Holder, Navy Blue",190.24,25.98,97.42,92.82,95.27,0.37
بروكيس حافظة لجهاز ايباد اير 13 انش M4/M3/M2 (2026/2025/2024) مع حامل قلم | جراب حماية ذكي نحيف لجهاز ايباد 13 اير M4 M3 M2 مع ظهر شفاف يدعم خاصية التعرف باللمس وخاصية التنبيه/النوم التلقائي,"Logitech Combo Touch iPad Air 13 inch M2 M3 &amp; M4 - Midnight Black | Detachable keyboard, kickstand, comfortable typing, multi-use mode, compatible with 2024, 2025 and 2026 iPad Air",59.99,229.99,862.46,-802.47,-93.04,0.37
"تابلت بنظام اندرويد 16 مع جيميناي ايه اي، شاشة FHD 11 بوصة، ذاكرة رام 24GB وذاكرة ROM 128GB / 2TB TF، وحدة معالجة مركزية T7250 + كاميرا 13MP، 8000mAh، وايدفاين L1، تابلت 2 في 1 2026 مع قلم ستايلس | T7250 CPU, 2GHz+5G WiFi, 13MP Camera, 8000mAh, Widevine L1, GPS, Tablet with Keyboard and Mouse, 2 in 1 Tablets with Stylus","Android 15 Tablet 10 Inch, 2026 Tablet with Keyboard, 24GB+256GB+2TB Expand | Tablets PC with Gemini AI, Octa-Core, 8000mAh, 5G WiFi, Widevine L1, GMS, 2 in 1 AI Tablets with Case, Mouse, Stylus(Pink)",789.99,80.18,300.68,489.32,162.74,0.37
تايب كيس حافظة كيبورد تعمل باللمس لجهاز ايباد الجيل 11/10، قابلة للدوران | لوحة تحكم باللمس لجهاز ايباد الجيل 11/10 A16 11 انش/10.9 انش، 11 لون، حامل قلم رصاص، للعمل والسفر والدراسة، ازرق داكن,"Apple iPad, 2025 with A16 Chip (11-inch, Wi-Fi + Cellular, 128GB) - Silver (Renewed)",234.99,449.99,1687.46,-1452.47,-86.07,0.36
واي كيو سافيور تابلت 10 انش مع كيبورد، تابلت 2 في 1، اندرويد 15 | ذاكرة RAM 12GB+64GB ROM + 1TB قابلة للتوسيع مع حافظة، ماوس، شاشة IPS 1280 * 800، كاميرا مزدوجة 2+8 ميجابكسل، واي فاي، بلوتوث,"Tablet Android 16 10 Inch 12GB RAM+64GB ROM/ 1TB Expandable, 1280 * 800 HD Touch Screen, 5G WiFi6 BT 5.0, 2 in 1 Tab with Keyboard Case Mouse Stylus (Pink)",276.16,62.99,236.21,39.95,16.91,0.36
سامسونج تابلت جالكسي تاب A9 واي فاي بنظام اندرويد، ذاكرة RAM 4GB، تخزين 64GB، غرافيت (إصدار المملكة العربية السعودية),"Samsung Galaxy A14 5G, 64GB + 4GB RAM, Black - Unlocked (GSM Only) (Renewed)",825.79,104.44,391.65,434.14,110.85,0.36
"حافظة حماية من موكو لآيباد جيل 11 مقاس 11 إنش 2025 و آيباد جيل 10 مقاس 10.9 إنش 2022، مصنوعة من جلد PU و بولي كربونات بلون فضي | For iPad 10th Generation Case 10.9 Inch 2022, Slim Light Trifold Protective Cover with Hard PC Clear Back Shell, Silver","MoKo for iPad (A16) 11th Generation Case, iPad 10th Gen Case, Navy Blue | For iPad 11/10.9 Inch Case 2025/2022, Slim Stand Hard PC Translucent Back Shell Smart Cover,Support Touch ID,Auto Wake/Sleep ClimatePartner certified",59.98,9.95,37.31,22.67,60.75,0.35
يوجرين حامل تابلت قابل للدوران 360 درجة مناسب للاجهزة مقاس 13 بوصة، لون | حامل جوال وتابلت معدني للمكتب قابل للتعديل والطي متوافق مع ايفون 17 برو ماكس وايباد برو/اير/ميني,"Apple 2024 iPad Air 13-inch, Wi-Fi, 256GB - Purple (Renewed)",60.96,771.4,2892.75,-2831.79,-97.89,0.33
بروكيس حافظة شفافة لجهاز ايباد A16 الجيل الحادي عشر 11 انش/الجيل العاشر | جراب خلفي رفيع وشفاف مضاد للاصفرار لجهاز ايباد A16 الجيل 11 11 انش 2025 والجيل العاشر 10.9 انش 2022,"Apple 2022 iPad Pro 11-inch, Wi-Fi, 256GB, Space Gray (Renewed)",42.99,606.0,2272.5,-2229.51,-98.11,0.33
جيتك شاشة حماية لجهاز ايباد برو 11 انش وايباد اير 5/4 10.9 انش، عبوة من | لجهاز ايباد برو 11 انش (2022-2018) واير 5/4 10.9 انش (2022/2020)، زجاج مقوى بدرجة صلابة 9، شفاف عالي الدقة، مضاد للخدش، أداة,"Apple 2022 iPad Air (10.9-inch, Wi-Fi, 64GB) - Starlight (Renewed)",63.99,314.19,1178.21,-1114.22,-94.57,0.33
بروكيس حافظة للاطفال لجهاز ايباد الجيل 11/10، حامل قلم، اكوا | غطاء خفيف الوزن مضاد للصدمات مع حامل مقبض قابل للتحويل للأطفال والأطفال الصغار,Apple iPad Pro 2 10.5 512GB WiFi MPGH2LL/A Space Gray A1701 (Renewed),69.99,289.0,1083.75,-1013.76,-93.54,0.33
بروكيس حافظة لجهاز ايباد A16 الجيل 11 11 انش 2025/الجيل العاشر 10.9 انش | حافظة حماية كاملة للكاميرا مع ظهر ناعم من البولي يوريثين الحراري وحامل قلم لجهاز ايباد A16 الجيل الحادي عشر 2025 والجيل,"Apple iPad, 2025 with A16 Chip (11-inch, Wi-Fi + Cellular, 128GB) - Silver (Renewed)",49.99,449.99,1687.46,-1637.47,-97.04,0.33
جيتك حافظة للأطفال لجهاز ايباد برو 11 انش وايباد اير 5/4 10.9 انش، ازرق | لجهاز ايباد برو 11 انش (2022-2018) واير 5/4 10.9 انش (2022/2020)، واقي شاشة مدمج، حامل مقبض، مضاد للصدمات، صديق للأطفال,"Apple 2022 iPad Air (10.9-inch, Wi-Fi, 64GB) - Starlight (Renewed)",76.99,314.19,1178.21,-1101.22,-93.47,0.33
تابلت سامسونج SM X130NZAAEUE جالكسي تاب A11 رمادي,"Samsung Galaxy A11, 32GB - Unlocked (Renewed)",688.92,74.44,279.15,409.77,146.79,0.33
تابلت 2 في 1 10 انش بنظام اندرويد 15 مع حافظة كيبورد وماوس وقلم ستايلس 8GB+32GB تابلت بشاشة لمس HD 10.1 انش وكاميرا مزدوجة 2MP+8MP وبطارية 6000mAh وواي فاي 6 وبلوتوث ازرق,Android Tablet 10 Inch Tablet With Case Stylus Android 15 Tablets 8GB RAM 32GB ROM Support 1TB Expansion 6000mah Battery 10.1&quot; IPS HD Touchscreen 2MP+8MP Dual Camera WIFI-6 Bluetooth5.0 Tablets,334.16,59.99,224.96,109.2,48.54,0.33
جيتك حافظة لجهاز ايباد برو 11 انش 4/3/2/1 (2022/2021/2020/2018)، فضي | تصميم خلفي شفاف نحيف، حامل ثلاثي الطيات، خاصية التنبيه/النوم التلقائي، غطاء خفيف الوزن مضاد للصدمات,"Apple 2022 iPad Pro 11-inch, Wi-Fi, 256GB, Space Gray (Renewed)",53.99,606.0,2272.5,-2218.51,-97.62,0.33
حافظة حماية قابلة للطي لجهاز ايباد (A16) الجيل 11/10 من جي تيك، ازرق | لطراز 2025/2022، غطاء حامل متعدد الزوايا، حامل أقلام، غطاء واقي رفيع، خاصية التنبيه/النوم التلقائي,"Apple iPad, 2025 with A16 Chip (11-inch, Wi-Fi + Cellular, 128GB) - Silver (Renewed)",62.99,449.99,1687.46,-1624.47,-96.27,0.33
تابلت اندرويد 15/10 بوصة/ 20GB RAM 128GB ROM/قابل للتوسيع حتى 2TB/رباعي النواة 2.0GHz/شاشة HD 1280×800 5G/WiFi6/بلوتوث 5.0/تابلت 2 في 1 بحافظة كيبورد/ماوس/قلم إلكتروني من كوبيسي/وايدفاين ال 1/برتقالي,"Tablet Android 16 10 Inch 12GB RAM+64GB ROM/ 1TB Expandable, 1280 * 800 HD Touch Screen, 5G WiFi6 BT 5.0, 2 in 1 Tab with Keyboard Case Mouse Stylus (Pink)",375.15,62.99,236.21,138.94,58.82,0.32
تابلت اندرويد 15 مقاس 10 انش بذاكرة RAM 8GB وذاكرة تخزين 32GB وشاشة HD IPS مقاس 10.1 انش وواي فاي 5G وبطارية 6000mAh وكاميرا مزدوجة لمكالمات الفيديو مع حافظة وقلم ستايلس للعمل والدراسة,Android Tablet 10 Inch Tablet With Case Stylus Android 15 Tablets 8GB RAM 32GB ROM Support 1TB Expansion 6000mah Battery 10.1&quot; IPS HD Touchscreen 2MP+8MP Dual Camera WIFI-6 Bluetooth5.0 Tablets,301.48,59.99,224.96,76.52,34.01,0.32
تابلت 10.1 انش اندرويد 15 من ويوهو، ذاكرة RAM 8GB، تخزين 32GB، شاشة HD IPS، واي فاي 5G، بطارية 6000mAh، كاميرا مزدوجة لمكالمات الفيديو، تاب مع حافظة وقلم ستايلس للعمل والدراسة (ازرق),Android Tablet 10 Inch Tablet With Case Stylus Android 15 Tablets 8GB RAM 32GB ROM Support 1TB Expansion 6000mah Battery 10.1&quot; IPS HD Touchscreen 2MP+8MP Dual Camera WIFI-6 Bluetooth5.0 Tablets,314.48,59.99,224.96,89.52,39.79,0.32
"تابلت تابوي T80 اندرويد 15 مع كيبورد - 18GB RAM + 128GB ROM (2TB TF)، تابلت 10 انش، 6000mAh، 5MP + 2MP، جيميني AI، واي فاي 5G، جي بي اس، التعرف على الوجه | 6000mAh Battery, 5MP Camera, Gemini AI, 5G WiFi, GPS, Face ID, Tablet with Keyboard, Mouse, Case &amp; Stylus","2 in 1 Tablet 10 Inch Android 15 Tableta, Tablets with Keyboard Mouse Case Stylus, 8GB RAM 32GB ROM Supports 1TB Expansion, 2MP+8MP Dual Camera Quad Core Processor 6000mAh Battery 10.1 IN FHD Tab Pink",729.99,64.99,243.71,486.28,199.53,0.32
موفت حافظة ديناميكية فوليو لجهاز ايباد اير 11 انش (M3 2025 / M2 2024) وايباد اير 10.9 انش الجيل الخامس والرابع 2022 2020، حافظة بحامل مغناطيسي رفيع مع اكثر من 20 زاوية عرض، بانا كوتا × جينز باهت,"Apple iPad Air, 2025 with M3 Chip (11-inch, Wi-Fi, 128GB) - Purple (Renewed)",189.99,589.0,2208.75,-2018.76,-91.4,0.32
تابلت 2026 احدث تابلت اندرويد 16 مع كيبورد وماوس، تابلت 10 انش، ذاكرة RAM 24GB وروم 256GB (توسيع 2TB)، العاب ثماني النواة، واي فاي 5G، وايدفاين L1 FHD، GPS، حزمة لابتوب 2 في 1 للعمل والمدرسة,"10 inch Tablet with Keyboard - Android 16 Tablet with 24GB+256GB+2TB Expand | 2026 Gemini AI Tablet PC with 8-Core, 5G WiFi, 8000mAh, GMS, GPS, 2-in-1 Electronic Tablet with Case, Mouse, Stylus (Black)",657.62,129.99,487.46,170.16,34.91,0.31
سامسونج جوال جالكسي M17 5G (فضي مونلايت، ذاكرة RAM 6GB، تخزين 128GB) | دائرة للبحث | جيميني لايف | كاميرا ثلاثية 50MP OIS | تصنيف IP54 | زجاج غوريلا فيكتوس | ذكاء اصطناعي | 6 جيل من ترقيات نظام التشغيل | بدون شاحن,"Samsung Galaxy S25 5G, 128GB + 12GB RAM, Silver Shadow - Unlocked (Renewed)",878.24,431.89,1619.59,-741.35,-45.77,0.31
ايه بيوتي حافظة لجهاز ايباد اير 11 انش M4/M3/M2، ايباد اير 5/4 10.9 انش | غطاء رفيع على شكل حرف Y مع غلاف خلفي شفاف، حامل قلم، خاصية السكون التلقائي,"Apple iPad Air, 2025 with M3 Chip (11-inch, Wi-Fi, 128GB) - Purple (Renewed)",49.99,589.0,2208.75,-2158.76,-97.74,0.31
تابلت 10 انش 2 في 1 اندرويد 15 مع كيبورد، تابلت 10 انش يتضمن ماوس وكيبورد ستايلس، 6000mAh 8GB RAM 32GB ROM يدعم 1TB قابل للتوسيع كاميرا مزدوجة 5G واي فاي 6 بلوتوث,"2 in 1 Tablet 10 Inch Android 15 Tableta, Tablets with Keyboard Mouse Case Stylus, 8GB RAM 32GB ROM Supports 1TB Expansion, 2MP+8MP Dual Camera Quad Core Processor 6000mAh Battery 10.1 IN FHD Tab Pink",308.61,64.99,243.71,64.9,26.63,0.31
حافظة لجهاز ايباد من الجيل الـ10 مع حامل اقلام من برو كيس، حافظة ايباد 2022 10.9 انش، غطاء حماية خلفي شفاف ثلاثي الطي، غطاء مضاد للصدمات لايباد 2022 الجيل الـ10 A2696 A2757 A2777 -كحلي | Hybrid Clear Back Soft TPU Case Cover with Pencil Holder and Auto Wake/Sleep for iPad A16 11th Gen 2025 and 10th Gen 2022,"MoKo for iPad (A16) 11th Generation Case, iPad 10th Gen Case, Navy Blue | For iPad 11/10.9 Inch Case 2025/2022, Slim Stand Hard PC Translucent Back Shell Smart Cover,Support Touch ID,Auto Wake/Sleep ClimatePartner certified",56.99,9.95,37.31,19.68,52.74,0.31
"جيتك حافظة دوارة لجهاز ايباد (A16) الجيل 11/10 (2025/2022) مع حامل قلم، غطاء حامل واقي دوار 360 درجة بظهر شفاف، خاصية التنبيه/السكون التلقائي (بينك) | Cover for 2025/2022 Model, Multi-Angle Stand, Clear Back, Auto Wake/Sleep, Pencil Holder, Full Protection","MoKo for iPad (A16) 11th Generation Case, iPad 10th Gen Case, Navy Blue | For iPad 11/10.9 Inch Case 2025/2022, Slim Stand Hard PC Translucent Back Shell Smart Cover,Support Touch ID,Auto Wake/Sleep ClimatePartner certified",64.99,9.95,37.31,27.68,74.18,0.3
جيتك شاشة حماية الخصوصية لجهاز ايباد اير 33 سم M4/M3/M2، عبوة واحدة | لطراز 2026/2025/2024، حماية الخصوصية ضد التجسس، زجاج مقسى، أداة سهلة التركيب، تصميم مضاد للخدش,"Logitech Combo Touch iPad Air 13 inch M2 M3 &amp; M4 - Midnight Black | Detachable keyboard, kickstand, comfortable typing, multi-use mode, compatible with 2024, 2025 and 2026 iPad Air",73.99,229.99,862.46,-788.47,-91.42,0.3
جيتك حافظة لجهاز ايباد الجيل التاسع/الثامن/السابع 10.2 بوصة، اسود | حماية ناعمة من البولي يوريثين الحراري، حامل أقلام، حامل ثلاثي الطيات، غطاء خفيف الوزن مضاد للصدمات، خاصية الاستيقاظ/النوم,"Apple iPad, 10.2-Inch, Wi-Fi, 32GB, Space Gray (Renewed)",57.59,99.0,371.25,-313.66,-84.49,0.3
جيتك حافظة لامعة لجهاز ايباد اير 11 بوصة M4/M3/M2 وايباد اير 5/4، لون ذهبي | غطاء لجهاز ايباد اير 11 انش (2026-2024) واير 5/4 10.9 انش (2022/2020)، تصميم لامع، حامل أقلام، ظهر شفاف، صديق للأطفال,"Apple iPad Air 2026 with Apple M4 Chip (11-inch, Wi-Fi, 128GB) - Space Gray (Renewed)",63.99,619.0,2321.25,-2257.26,-97.24,0.3
تابلت سامسونج جالكسي تاب A11 واي فاي بنظام اندرويد وذاكرة رام 4 جيجابايت وتخزين 64 جيجابايت، شاشة 8.7 بوصة، رمادي، إصدار المملكة العربية السعودية,"Samsung Galaxy A11, 32GB - Unlocked (Renewed)",461.0,74.44,279.15,181.85,65.14,0.3
تابلت اتوزي 10 انش بنظام اندرويد 14 وذاكرة RAM 8GB وروم 64GB وسعة 1024GB وكاميرا 2MP+ 8MP وبلوتوث وواي فاي 6 وشاشة IPS 10.1 انش HD وبطارية تدوم طويلا 6000mAh,Android Tablet 10 Inch Tablet With Case Stylus Android 15 Tablets 8GB RAM 32GB ROM Support 1TB Expansion 6000mah Battery 10.1&quot; IPS HD Touchscreen 2MP+8MP Dual Camera WIFI-6 Bluetooth5.0 Tablets,297.34,59.99,224.96,72.38,32.17,0.3
ايه بيوتي حافظة لجهاز ايباد الجيل التاسع/الثامن/السابع 10.2 بوصة - بينك | مع حامل قلم، غطاء حامل دوار خلفي شفاف، خاصية التنبيه/السكون التلقائي,"Apple iPad, 10.2-Inch, Wi-Fi, 32GB, Space Gray (Renewed)",59.99,99.0,371.25,-311.26,-83.84,0.3
تابلت 2 في 1 بنظام تشغيل اندرويد، تابلت 10 انش مع كيبورد وماوس وحافظة واقية وقلم ستايلس 10.1 انش 8GB+32GB يدعم توسيع 1TB وكاميرا مزدوجة 2MP+8MP وبطارية 6000mAh وبلوتوث وواي فاي 6 اندرويد,"2 in 1 Tablet 10 Inch Android 15 Tableta, Tablets with Keyboard Mouse Case Stylus, 8GB RAM 32GB ROM Supports 1TB Expansion, 2MP+8MP Dual Camera Quad Core Processor 6000mAh Battery 10.1 IN FHD Tab Pink",325.14,64.99,243.71,81.43,33.41,0.3
تابلت تابوي 10 انش اندرويد 16 مع كيبورد، 24GB RAM (8+16GB تمديد) روم 256GB (توسيع 2TB TF)، ثماني النواة 2 في 1، واي فاي 5G، 5000mAh، GPS، جيميني AI، رمادي,"10 inch Tablet with Keyboard - Android 16 Tablet with 24GB+256GB+2TB Expand | 2026 Gemini AI Tablet PC with 8-Core, 5G WiFi, 8000mAh, GMS, GPS, 2-in-1 Electronic Tablet with Case, Mouse, Stylus (Black)",699.99,129.99,487.46,212.53,43.6,0.3
تابلت سامسونج جالكسي تاب A11 بشبكة ال تي اي ونظام تشغيل اندرويد بذاكرة رام 4 جيجابايت وذاكرة تخزين 64 جيجابايت مع شاشة 8.7 بوصة، لون فضي (إصدار المملكة العربية السعودية),"Samsung Galaxy A11, 32GB - Unlocked (Renewed)",519.0,74.44,279.15,239.85,85.92,0.3
تابلت سامسونج جالكسي تاب A11، واي فاي، اندرويد، رمادي، ذاكرة رام 8 جيجابايت، وتخزين 128 جيجابايت، شاشة 8.7 بوصة (إصدار المملكة العربية السعودية),"Samsung Galaxy A11, 32GB - Unlocked (Renewed)",669.0,74.44,279.15,389.85,139.66,0.3
جهاز تابلت سامسونج جالكسي تاب A11، يدعم شبكة ال تي اي، يعمل بنظام اندرويد، رام 4 جيجابايت، سعة تخزين 64 جيجابايت، شاشة مقاس 8.7 بوصة، لون رمادي (إصدار المملكة العربية السعودية),"Samsung Galaxy A11, 32GB - Unlocked (Renewed)",554.0,74.44,279.15,274.85,98.46,0.3
رؤوس بديلة متوافقة مع قلم ابل ايباد برو الجيل الثاني، قلم ايباد 1 الجيل الثاني، ابيض، عبوة من 4 قطع,"Apple 2022 iPad Pro, 12.9-inch, 128GB - Space Gray (Renewed)",4.32,609.95,2287.31,-2282.99,-99.81,0.3
جيتك حافظة لجهاز ايباد الجيل السادس/الخامس 9.7 انش (2018/2017)، كحلي داكن | تصميم خلفي شفاف نحيف، حامل ثلاثي الطيات، خاصية التنبيه/النوم التلقائي، غطاء خفيف الوزن مضاد للصدمات,"Apple 2017 iPad 9.7-inch, WiFi + Cellular, 32GB - Silver (Renewed)",47.99,86.99,326.21,-278.22,-85.29,0.3
جيتك حافظة لجهاز ايباد اير 11 انش M4/M3/M2 وايباد اير 5/4 10.9 انش | غطاء لجهاز ايباد اير 11 انش (2026-2024) واير 5/4 10.9 انش (2022/2020)، ظهر شفاف، حامل ثلاثي الطيات، خاصية التنبيه/السكون,"Apple iPad Air 2026 with Apple M4 Chip (11-inch, Wi-Fi, 128GB) - Space Gray (Renewed)",54.99,619.0,2321.25,-2266.26,-97.63,0.3
قلم ستايلس لجهاز ايباد مع مغناطيس عالي الحساسية وقابل لاعادة الشحن من يوجرين,Apple Renewed iPad Air 2 - 128GB - Space Grey (Renewed),139.0,118.0,442.5,-303.5,-68.59,0.29
تلفزيون عالي الدقة مقاس 32 بوصة H5000F مزود بمحتويات مجانية من سامسونج TV بلس ومؤمن بواسطة نوكس ويدعم HDR واو تي اس لايت طراز UA32H5000FUXSA من سامسونج (نسخة المملكة العربية السعودية),"Samsung 32-Inch Class HD H5000F Smart TV (2025 Model) HDR, Object Tracking Sound Lite, Knox Security, One UI Tizen",729.0,97.96,367.35,361.65,98.45,0.29
جيتك حافظة حماية دوارة 360 درجة لجهاز ايباد اير 33 سم M4/M3/M2، زهري رملي | غطاء لموديل 2026/2025/2024، حامل متعدد الزوايا، تصميم خلفي شفاف، خاصية التنبيه/السكون التلقائي، حامل قلم، حماية كاملة,"Logitech Combo Touch iPad Air 13 inch M2 M3 &amp; M4 - Midnight Black | Detachable keyboard, kickstand, comfortable typing, multi-use mode, compatible with 2024, 2025 and 2026 iPad Air",81.99,229.99,862.46,-780.47,-90.49,0.29
جيتك شاشة حماية لجهاز ايباد برو 11 انش وايباد اير 5/4 10.9 انش، عبوة من | لجهاز ايباد اير 5/4 10.9 انش (2022/2020) وبرو 11 انش (2022/2021/2020/2018)، زجاج مقوى شفاف HD مضاد للخدش,"Apple 2022 iPad Air (10.9-inch, Wi-Fi, 64GB) - Starlight (Renewed)",56.99,314.19,1178.21,-1121.22,-95.16,0.29
